product,jumlah_muncul
nasi goreng telur dadar,138
pizza beef sausage chicken,132
nasi krengsengan spesial,128
nasi pecel ayam,127
nasi goreng rumahan,126
nasi nila saos tiram,126
nasi ayam sambal gempor,125
chicken steak,124
extra chicken patty,124
chicken mozaru x r,124
nasi ayam asam pedas,123
chicken bbq,123
nasi kepiting nongki,123
nasi campur telur jumbo,122
nasi goreng dprapatan,122
nasi campur ayam goreng kampung,121
ayam bakar,121
bowl chicken pop corn,121
popcorn chicken honey,121
chicken katsu carbonara udon,120
rice box chicken fire,120
nasi goreng kyogi,120
rice bowl ayam lada hitam,120
classic chicken burger,120
sei ayam ricarica,120
nasi bebek dendeng copa,120
ayam geprek taman kopi,120
nasi pecelurap ayam,119
nasi kebuli,119
ayam sambal merah,119
nasi ayam bakar,119
nasi rendang,119
sate barbar ayam,119
nasi ayam recheese refftwo,119
nasi timbel,118
cheese chicken ball,118
nasi goreng seafood,118
nasi bebek rica rica copa,118
combo ayam geprek mozarella,118
ayam asam manispotong,118
korean garlic soy fried chicken,117
nasi goreng post kuliner,117
risol homemade ayam sayur,117
nasi goreng ayam saus mentega,117
tumis bayam bersantan,117
nasi padang,117
whole chicken blackpepper,117
nasi kuning,117
ayam geprek sambal ladopotong,117
spesial ayam geprek sambal matah,117
chicken salad,117
nasi pecel,117
nasi rawon sapi,116
black pepper chicken popcorn,116
nasi goreng dendeng lemak sapi,116
crepes chicken,116
bebek bakar plus nasi,115
nasi soto sapi,115
nasi goreng spesial,115
ayam bakar jumbo nasi,115
ayam rica rica,115
xxl crispy chicken,115
nasi king box korean mozza,115
pizza molen chicken,115
ayam pecak nasi,115
ayam selimut,115
chicken snack wrap,115
nasi bungkus kari kambing,114
nasi bungkus teri bilis,114
nasi ayam rica rica copa,114
spesial telor ayam,114
omurice chicken katsu,114
bbq chicken,114
risol homemade ayam sayur pedas,114
nasi ampela,114
nasi cumi saos padang,113
patbingsoo chicken dub bab,113
telur ayam bagian kuning,113
nasi sop daging,113
chicken run in out,113
chicken strip roll,113
nasi goreng ayam tusuk,113
sosis ayam,112
nasi bebek imut,112
nasi belut ayam potong,112
nasi goreng merah sapi,112
nasi goreng kampung,112
nasi chicken matah sauce,112
pe tanpa nasi,112
ayam geprek sambal bawang,112
ayam geprek sambel matah,112
nasi kotak ayam gulai,112
ayam cabe kering,112
chicken katsu rice,111
ayam geprek ranjau sambal ijo,111
dumpling ayam bakar,111
nasi chasio,111
nasi belut telor,111
nasi bakar,111
chicken barbeque,111
